agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
2,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
32,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
50,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
1,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
17,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
18,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
19,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
24,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
3,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
22,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
20,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
23,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
29,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
30,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
34,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
11,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
43,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
40,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
12,Kinatwa Sacco,http://www.kvv.de,Europe/Berlin,DE,+49 721 6107 5885
